"1","Afghanistan","Islamic State of Afghanistan","Kabul"
"2","Albania","Republic of Albania","Independent State","Tirana"
"3","Algeria","People's Democratic Republic of Algeria","Algiers"
"4","Andorra","Principality of Andorra","Andorra la Vella"
"5","Angola","Republic of Angola","Luanda"
"6","Antigua and Barbuda","Undefined","Saint John's"
"7","Argentina","Argentine Republic","Buenos Aires"
"8","Armenia","Republic of Armenia","Yerevan"
"9","Australia","Commonwealth of Australia","Canberra"
"10","Austria","Republic of Austria","Vienna"
"11","Azerbaijan","Republic of Azerbaijan","Baku"
"12","Bahamas The","Commonwealth of The Bahamas","Nassau"
"13","Bahrain","Kingdom of Bahrain","Manama"
"14","Bangladesh","People's Republic of Bangladesh","Dhaka"
"15","Barbados","Undefined","Bridgetown","BBD","Dollar"
"16","Belarus","Republic of Belarus","Minsk"
"17","Belgium","Kingdom of Belgium","Brussels"
"18","Belize","Undefined","Belmopan","BZD"
"19","Benin","Republic of Benin","Porto-Novo"
"20","Bhutan","Kingdom of Bhutan","Thimphu"
"21","Bolivia","Republic of Bolivia","La Paz (administrative/legislative) and Sucre (judical)"
"22","Bosnia and Herzegovina","Undefined","Sarajevo"
"23","Botswana","Republic of Botswana","Gaborone"
"24","Brazil","Federative Republic of Brazil","Brasilia"
"25","Brunei","Negara Brunei Darussalam","Bandar Seri Begawan"
"26","Bulgaria","Republic of Bulgaria","Sofia"
"27","Burkina Faso","Undefined","Ouagadougou"
"28","Burundi","Republic of Burundi","Bujumbura"
"29","Cambodia","Kingdom of Cambodia","Phnom Penh"
"30","Cameroon","Republic of Cameroon","Yaounde"
"31","Canada","Undefined","Ottawa","CAD"
"32","Cape Verde","Republic of Cape Verde","Praia"
"33","Central African Republic","Undefined","Bangui"
"34","Chad","Republic of Chad","N'Djamena"
"35","Chile","Republic of Chile","Santiago (administrative/judical) and Valparaiso (legislative)"
"36","China, People's Republic of","People's Republic of China","Beijing"
"37","Colombia","Republic of Colombia","Bogota"
"38","Comoros","Union of Comoros","Moroni"
"39","Congo, Democratic Republic of the (Congo – Kinshasa)","Democratic Republic of the Congo","Kinshasa"
"40","Congo, Republic of the (Congo – Brazzaville)","Republic of the Congo","Brazzaville"
"41","Costa Rica","Republic of Costa Rica","San Jose","CRC"
"42","Cote d'Ivoire (Ivory Coast)","Republic of Cote d'Ivoire","Yamoussoukro"
"43","Croatia","Republic of Croatia","Zagreb"
"44","Cuba","Republic of Cuba","Havana"
"45","Cyprus","Republic of Cyprus","Nicosia"
"46","Czech Republic","Undefined","Prague"
"47","Denmark","Kingdom of Denmark","Copenhagen"
"48","Djibouti","Republic of Djibouti","Djibouti"
"49","Dominica","Commonwealth of Dominica","Roseau"
"50","Dominican Republic","Undefined","Santo Domingo"
"51","Ecuador","Republic of Ecuador","Quito"
"52","Egypt","Arab Republic of Egypt","Cairo"
